    Baden-Württemberg::[ˌbaːdən ˈvʏʁtəmbɛʁk];Stuttgart::[ˈʃtʊtɡaʁt]
    Bayern::[ˈbaɪ̯.ɐn];München::[ˈmʏnçən]
    Berlin::[bɛɐ̯ˈliːn];Berlin::[bɛɐ̯ˈliːn]
    Brandenburg::[ˈbʁandn̩bʊʁk];Potsdam::[ˈpɔt͡sdam]
    Bremen::[ˈbʁeːmən];Bremen::[ˈbʁeːmən]
    Hamburg::[ˈhambʊʁk];Hamburg::[ˈhambʊʁk]
    Hessen::[ˈhɛsn̩];Wiesbaden::[ˈviːsbaːdn̩]
    Mecklenburg-Vorpommern::[ˌmɛklənbʊʁk ˈfoːɐ̯pɔmɐn];Schwerin::[ˈʃveːʁiːn]
    Niedersachsen::[ˈniːdɐzaksn̩];Hannover::[ˈhanːoːfɐ]
    Nordrhein-Westfalen::[ˈnɔʁtʁaɪ̯n ˈvɛstfaːlən];Düsseldorf::[ˈdʏsl̩dɔʁf]
    Rheinland-Pfalz::[ˈʁaɪ̯nlant ˈpfalts];Mainz::[maɪ̯nt͡s]
    Saarland::[ˈzaːɐ̯lant];Saarbrücken::[ˈzaːʁbʁʏkn̩]
    Sachsen::[ˈzaksən];Dresden::[ˈdʁeːzdən]
    Sachsen-Anhalt::[ˈzaksən ˈanˌhalt];Magdeburg::[ˈmakdəbʊʁk]
    Schleswig-Holstein::[ˈʃleːsvɪç ˈhɔlʃtaɪ̯n];Kiel::[kiːl]
    Thüringen::[ˈtyːʁɪŋən];Erfurt::[ˈɛʁfʊʁt]
