Alabama::[ˌæləˈbæmə];Montgomery::[mɒntˈɡʌməri]
Alaska::[əˈlæskə];Juneau::[ˈd͡ʒuː.noʊ]
Arizona::[ˌæɹɪˈzoʊnə];Phoenix::[ˈfiː.nɪks]
Arkansas::[ˈɑɹkənsɔː];Little Rock::[ˈlɪtəl ˈɹɒk]
Kalifornien::[kʰaliˈfoʁni̯ən];Sacramento::[ˌsækɹəˈmɛntoʊ]
Colorado::[ˌkʰɑləˈɹædoʊ];Denver::[ˈdɛnvəɹ]
Connecticut::[kəˈnɛtɪkət];Hartford::[ˈhɑɹtfɚd]
Delaware::[ˈdɛləwɛəɹ];Dover::[ˈdoʊvəɹ]
Florida::[ˈflɔɹɪdə];Tallahassee::[ˌtæləˈhæsi]
Georgia::[ˈdʒɔɹdʒə];Atlanta::[ˌætˈlæntə]
Hawaii::[həˈwaɪi];Honolulu::[ˌhɑː.nəˈluː.lu]
Idaho::[ˈaɪ̯dəhoʊ];Boise::[ˈbɔɪ̯si]
Illinois::[ˌɪlɪˈnɔɪ̯];Springfield::[ˈspɹɪŋfild]
Indiana::[ˌɪndiˈænə];Indianapolis::[ˌɪndi.əˈnæpəlɪs]
Iowa::[ˈaɪ̯əwə];Des Moines::[dɪs ˈmɔɪ̯nz]
Kansas::[ˈkʰænzəs];Topeka::[təˈpiːkə]
Kentucky::[kənˈtʰʌki];Frankfort::[ˈfɹæŋkfɚt]
Louisiana::[luːˌiziˈænə];Baton Rouge::[ˌbætn̩ ˈɹuːʒ]
Maine::[meɪ̯n];Augusta::[ɔːˈɡʌstə]
Maryland::[ˈmɛɹɪlənd];Annapolis::[əˈnæpəlɪs]
Massachusetts::[ˌmæsəˈtʃuːsɪts];Boston::[ˈbɒstən]
Michigan::[ˈmɪʃɪɡən];Lansing::[ˈlænsɪŋ]
Minnesota::[ˌmɪnɪˈsoʊtə];St. Paul::[seɪnt ˈpɔːl]
Mississippi::[ˌmɪsɪˈsɪpi];Jackson::[ˈd͡ʒæk.sən]
Missouri::[mɪˈzuɹi];Jefferson City::[ˈd͡ʒɛfəɹsən ˈsɪti]
Montana::[mɒnˈtænə];Helena::[ˈhɛlənə]
Nebraska::[ˈnɛbɹæskə];Lincoln::[ˈlɪŋkən]
Nevada::[nəˈvædə];Carson City::[ˈkɑɹsən ˈsɪti]
    New Hampshire::[njuː ˈhæmpʃɚ];Concord::[ˈkɑn.kɚd]
New Jersey::[njuː ˈʤɝzi];Trenton::[ˈtɹɛn.tən]
New Mexico::[njuː ˈmɛksɪkoʊ̯];Santa Fe::[ˌsæntə ˈfeɪ̯]
New York::[njuː ˈjɔɹk];Albany::[ˈɔːl.bə.ni]
North Carolina::[nɔɹθ ˌkæɹəˈlaɪ̯nə];Raleigh::[ˈɹɑːli]
North Dakota::[nɔɹθ ˌdəˈkoʊ̯tə];Bismarck::[ˈbɪzˌmɑɹk]
Ohio::[oʊ̯ˈhaɪ̯oʊ̯];Columbus::[kəˈlʌmbəs]
Oklahoma::[ˌoʊ̯kləˈhoʊ̯mə];Oklahoma City::[ˌoʊ̯kləˌhoʊ̯mə ˈsɪti]
Oregon::[ˈɔɹɪɡən];Salem::[ˈseɪ̯ləm]
Pennsylvania::[ˌpɛnsəlˈveɪ̯niə];Harrisburg::[ˈhæɹɪsbɝɡ]
Rhode Island::[ˌroʊ̯d ˈaɪ̯lənd];Providence::[ˈpɹɑvɪdəns]
South Carolina::[saʊ̯θ ˌkæɹəˈlaɪ̯nə];Columbia::[kəˈlʌmbiə]
South Dakota::[saʊ̯θ ˌdəˈkoʊ̯tə];Pierre::[piɚ]
Tennessee::[ˌtɛnɪˈsi];Nashville::[ˈnæʃvɪl]
Texas::[ˈtɛksəs];Austin::[ˈɔstən]
Utah::[ˈjuːtɑː];Salt Lake City::[sɔlt leɪ̯k ˈsɪti]
Vermont::[vɚˈmɑːnt];Montpelier::[mɒntˈpiːlɚ]
Virginia::[vɚˈd͡ʒɪnjə];Richmond::[ˈɹɪʧmənd]
Washington::[ˈwɒʃɪŋtən];Olympia::[oʊ̯ˈlɪmpiə]
West Virginia::[ˌwɛst vɚˈd͡ʒɪnjə];Charleston::[ˈʧɑːɹlɪstən]
Wisconsin::[wɪsˈkɑnsən];Madison::[ˈmædɪsən]
Wyoming::[waɪ̯ˈoʊ̯mɪŋ];Cheyenne::[ʃaɪˈæn]
