    Aargau::[ˈaɐ̯ɡaʊ̯];Aarau::[ˈaːraʊ̯]
    Appenzell Ausserrhoden::[apˈpɛntsɛl ˈaʊ̯sərˌroːdən];Herisau::[hɛˈʁiːzaʊ̯]
    Appenzell Innerrhoden::[apˈpɛntsɛl ˈɪnərˌroːdən];Appenzell::[ˌapːənˈʦɛl]
    Basel-Landschaft::[ˌbaːzl̩ ˈlantʃaft];Liestal::[ˈliəʃtɑːl]
    Basel-Stadt::[ˌbaːzl̩ ʃtat];Basel::[ˈbaːzl̩]
    Bern::[bɛrn];Bern::[bɛrn]
    Freiburg::[ˈfraɪ̯buʁk];Freiburg::[ˈfraɪ̯buʁk]
    Genf::[ʒɛ̃ːv];Genf::[ʒɛ̃ːv]
    Glarus::[ˈɡlaːʁʊs];Glarus::[ˈɡlaːʁʊs]
    Graubünden::[ˌɡraʊ̯ˈbʏndn̩];Chur::[ˈxʊʁ]
    Jura::[ˈjuːʁa];Delémont::[ˌdeːleˈmoː]
    Luzern::[ˈluːʦərn];Luzern::[ˈluːʦərn]
    Neuenburg::[ˈnɔɪ̯nbʊʁk];Neuenburg::[ˈnɔɪ̯nbʊʁk]
    Nidwalden::[ˈniːtv̥alˌdən];Stans::[ʃtans]
    Obwalden::[ˈɔbˌvaldən];Sarnen::[ˈzaɐ̯nən]
    Schaffhausen::[ˈʃafˌhaʊ̯zn̩];Schaffhausen::[ˈʃafˌhaʊ̯zn̩]
    Schwyz::[ʃviːts];Schwyz::[ʃviːts]
    Solothurn::[zoˈloːtʊʁn̩];Solothurn::[zoˈloːtʊʁn̩]
    St. Gallen::[ˌzaŋkt ˈɡalən];St. Gallen::[ˌzaŋkt ˈɡalən]
    Tessin::[tɛˈsiːn];Bellinzona::[bɛlˌlint͡soːna]
    Thurgau::[ˈtuːrɡaʊ̯];Frauenfeld::[ˈfʁaʊ̯ənˌfɛlt]
    Uri::[uːɾi];Altdorf::[ˈaltˌdɔʁf]
    Waadt::[vaːt];Lausanne::[loˈzan]
    Wallis::[ˈvalɪs];Sitten::[ˈzɪtən]
    Zug::[tsuːɡ];Zug::[tsuːɡ]
    Zürich::[ˈtsyːʁɪç];Zürich::[ˈtsyːʁɪç]
