    Anhui::[anˈxwei̯];Hefei::[xeˈfeɪ̯]
    Chongqing::[ʈʂʰʊŋˈʈʂʰi̯ɑŋ];Chongqing::[ʈʂʰʊŋˈʈʂʰi̯ɑŋ]
    Fujian::[ˈfuːˌd͡ʑjɛn];Fuzhou::[fuˈʈʂoʊ̯]
    Gansu::[ˈkaːnˌsu];Lanzhou::[länˈʤoʊ̯]
    Guangdong::[ˌɡwaŋˈdɔŋ];Guangzhou::[ˈɡwɑŋˌʤoʊ̯]
    Guangxi::[ˌɡwaŋˈʃiː];Nanning::[ˈnænˌnɪŋ]
    Guizhou::[ˈɡwɛɪ̯ˌʤoʊ̯];Guiyang::[ˈɡweɪ̯ˌjæŋ]
    Hainan::[ˈxaɪ̯.nɐn];Haikou::[ˈxaɪ̯.kou̯]
    Hebei::[ˈxɤːˌpei];Shijiazhuang::[ʂɨˌʨiˌaːˈʤwɑŋ]
    Heilongjiang::[ˌxeɪ̯.lʊŋˈʥɑŋ];Harbin::[ˈhɑɹ.bɪn]
    Henan::[ˈxəˈnæn];Zhengzhou::[ʈʂəŋˈʈʂoʊ̯]
    Hongkong::[ˌhɔŋˈkɔŋ];Hongkong::[ˌhɔŋˈkɔŋ]
    Hubei::[ˌxuːˈbeɪ̯];Wuhan::[ˈwuːˈhɑn]
    Hunan::[ˌxuːˈnæn];Changsha::[ʨʰɑŋˈʂaː]
    Innere Mongolei::[ˌiː.nəˈʁə mɔŋˈɡoːlɪ];Hohhot::[xoːˈxoːt]
    Jiangsu::[ˈʨi̯ɑŋˈsu];Nanjing::[ˈnænˌʤɪŋ]
    Jiangxi::[ˈʨi̯ɑŋˈʃiː];Nanchang::[ˈnænˌʧɑŋ]
    Jilin::[ˈʨi̯iːˈliːn];Changchun::[ʨʰɑŋˈʨʰʊn]
    Liaoning::[ˈljɑʊ̯ˌnɪŋ];Shenyang::[ʂənˈjɑŋ]
    Macao::[məˈkaʊ̯];Macao::[məˈkaʊ̯]
    Ningxia::[ˌniŋˈʃi̯ɑ];Yinchuan::[ˈjɪnˈʧʰwan]
    Peking::[ˈpeːkɪŋ];Peking::[ˈpeɪ̯.kɪŋ]
    Qinghai::[ˈʨʰiŋˌxaɪ̯];Xining::[ˈʂiː.niŋ]
    Shaanxi::[ˈʂaːnˌʂiː];Xi'an::[ˌʂiːˈɑːn]
    Shandong::[ˈʂanˈtoŋ];Jinan::[ʨiˈnæn]
    Shanghai::[ʂaŋˈxai̯];Shanghai::[ˈʂaŋˈhaɪ̯]
    Shanxi::[ˈʂanˈʂiː];Taiyuan::[ˈtaɪ̯.juːan]
    Sichuan::[ˈsuːˈʨʰwan];Chengdu::[ʨʰəŋˈduː]
    Tianjin::[ˌtʰjɛnˈʨɪn];Tianjin::[ˌtʰjɛnˈʨɪn]
    Xinjiang::[ˌɪnˈʃi̯ɑŋ];Ürümqi::[yː.ˈɾym.ʧiː]
    Xizang (Tibet)::[ˌɕiːˈtsɑŋ];Lhasa::[ˈlɑːsə]
    Yunnan::[ˌjuːˈnæn];Kunming::[ˈkuːn.mɪŋ]
    Zhejiang::[ˌʈʂəˈʥjɑŋ];Hangzhou::[ˈhɑŋˈʨʰoʊ̯]
