Afghanistan::[afˈɡaːnɪstaːn];Kabul::[kʰəˈbul]
Ägypten::[ˌɛˈɡʏptn̩];Kairo::[ˈkaɪ̯ʁo]
Albanien::[alˈbaːni̯ən];Tirana::[tiˈɾana]
Algerien::[alˈɡeːʁiən];Algier::[alˈd͡ʒiːɐ̯]
Andorra::[ɑnˈdɔrə];Andorra la Vella::[ɑnˈdɔrə lə ˈveʎə]
Angola::[ɑŋˈɡo.lɑ];Luanda::[luˈɐ̃n.dɐ]
Antigua und Barbuda::[ænˈtiɡwə ʊnt bɑrˈbjuːdə];Saint John's::[seɪnt ˈd͡ʒɒnz]
Äquatorialguinea::[ˌɛkvɑtoːʁi̯alɡiˈneːə];Malabo::[maˈlaːbo]
Argentinien::[ʔaʁɡənˈtiːni̯ən];Buenos Aires::[ˈbweːnɔs ˈʔaɪ̯ʁəs]
Armenien::[aʁˈmiːni̯ən];Eriwan::[ɛˈrivän]
Aserbaidschan::[ˌaːzɐbaɪd͡ʒi̯aˈd͡ʒaːn];Baku::[baˈku]
Äthiopien::[ˌʔɛti̯oːˈpiːən];Addis Abeba::[adˈdis ˈabəba]
Australien::[aʊ̯sˈtʁaːli̯ən];Canberra::[kænˈbɛɹə]
Bahamas::[baˈhaːmas];Nassau::[ˈnæsɔ]
Bahrain::[baˈɦɾaɪ̯n];Manama::[maˈnaːma]
Bangladesch::[ˈbaŋlaˌdɛʃ];Dhaka::[ˈdʱaka]
Barbados::[bɑɹˈbeɪ.dəs];Bridgetown::[ˈbrɪd͡ʒˌtaʊn]
Belgien::[ˈbɛlɡi̯ən];Brüssel::[ˈbʁʏsəl]
Belarus (Weißrussland)::[bɛlaˈʁuːs];Minsk::[mʲinsk]
Belize::[bəˈliːz];Belmopan::[ˌbɛl.moʊˈpæn]
Benin::[ˈbɛnɪn];Porto-Novo::[ˌpɔɹtoʊ ˈnoʊvoʊ]
Bolivien::[boˈliːvi̯ən];La Paz::[la ˈpas], Sucre::[ˈsu.kɾe]
Bosnien und Herzegowina::[ˈbɔsni̯ən ʊnt ˌhɛʁtsɛˈɡoːvi̯na];Sarajevo::[saˈraː.jɛ.ʋɔ]
Botswana::[bɔtsˈʋaːna];Gaborone::[ɡaˈbɔrɔ.nɛ]
Brasilien::[bʁaˈziːlɪ̯ən];Brasília::[bɾaˈziljɐ]
Brunei::[bʁuːˈnaɪ̯];Bandar Seri Begawan::[ˌbɑn.dər ˌsɛ.riː bɛ.ˈɡa.wɑn]
Bulgarien::[bʊlˈɡaːʁi̯ən];Sofia::[ˈso.fɪ.ɐ]
Burkina Faso::[bʊʁˈkiː.na ˈfaː.zo];Ouagadougou::[wa.ɡa.du.ˈɡu]
Burundi::[buˈʁʊndi];Gitega::[ɡiˈte.ɡa]
Chile::[ˈʧiː.lɪ̯ə];Santiago::[sanˈtja.ɣo]
China::[ˈʧiː.na];Peking::[ˈpe.kɪŋ]
Costa Rica::[ˌkɔsta ˈʁiː.ka];San José::[san xoˈse]
Dänemark::[ˈdɛn.maʁk];Kopenhagen::[ˈkoːpənhaːɡn̩]
Deutschland::[ˈdɔʏ̯ʧ.lant];Berlin::[bɛɐ̯ˈliːn]
Dominica::[ˌdɔmɪˈniː.ka];Roseau::[roːˈzoː]
Dominikanische Republik::[ˌdɔmɪnɪˈkaːnɪʃə ʁeˈpuːblɪk];Santo Domingo::[ˈsanto doˈmiŋo]
Dschibuti::[ˌdʒɪbuːˈtiː];Dschibuti::[ˌdʒɪbuːˈtiː]
Ecuador::[ˌɛkwaˈdoːɐ̯];Quito::[ˈkwiːto]
El Salvador::[ˌɛl saːlvaˈdoːɐ̯];San Salvador::[san salvaˈdoːɾ]
Elfenbeinküste::[ˈɛlfənbaɪ̯nˌkʏstə];Yamoussoukro::[ˌja.muːˈsuːkɾu]
Equatorial Guinea::[ˌɛkwəˈtoʊɹiəl ɡɪˈni];Malabo::[maˈlaːbo]
Eritrea::[ˌɛɹɪˈtɹeɪ̯ə];Asmara::[æsˈmæɹə]
Estland::[ˈɛstlant];Tallinn::[ˈtɑlɪn]
Eswatini (Swasiland)::[ˌɛsˈwɑːtɪni];Mbabane::[m̩baˈbaːne]
Fidschi::[ˈfidʃi];Suva::[ˈsuːva]
Finnland::[ˈfɪnlant];Helsinki::[ˈhɛlsɪŋki]
Frankreich::[ˈfʁaŋkʁaɪ̯ç];Paris::[paˈʁiː]
